dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
7000,0.75,17.279644024763577,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-06-04T15:57:53,,
8000,0.75,18.530786997262677,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-06-04T16:02:45,,
8500,0.75,14.131952579773834,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-06-04T16:07:58,,
9000,0.75,12.902715049822417,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-06-04T16:13:23,,
9358,0.75,68.46408317349035,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-06-04T16:19:07,,
1000,1.0,104.64774472990538,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-05-15T09:53:52,,
2000,1.0,124.86709938690099,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-05-15T11:24:26,,
4000,1.0,62.31593686938148,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-05-15T17:11:38,,
5000,1.0,53.39831640571283,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-05-16T10:00:13,,
6000,1.0,44.62700332250101,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-05-18T08:37:02,,
3000,1.0,57.504825685018254,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-06-04T16:29:15,,
7000,1.0,14.91451892816689,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-06-04T16:46:14,,
8000,1.0,16.610275342460064,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-06-04T16:51:41,,
8500,1.0,11.288641129066212,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-06-04T16:57:34,,
9000,1.0,11.21754921944091,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-06-04T17:03:51,,
9358,1.0,34.801705796585765,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.0_2021-06-04T17:10:28,,
1000,1.25,16.93122167798944,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.25_2021-05-15T10:01:01,,
3000,1.25,30.162195917491253,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.25_2021-05-15T13:15:04,,
4000,1.25,58.3044007528796,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.25_2021-05-15T18:05:15,,
5000,1.25,73.9963852818105,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.25_2021-05-16T10:45:12,,
6000,1.25,6.192875453360966,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.25_2021-05-18T09:00:40,,
2000,1.25,41.32938309742347,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.25_2021-06-04T17:18:21,,
7000,1.25,11.311501963793786,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.25_2021-06-04T17:47:15,,
8000,1.25,22.122475369059654,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.25_2021-06-04T17:55:20,,
8500,1.25,12.072225048432212,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_1.25_2021-06-04T18:02:16,,
